 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
  0.827894449      0.110070519       51790.6875    
  0.845144451      0.107823901       50706.8164    
  0.872904062      0.104394950       52998.7031    
  0.901575506      0.101075031       53490.2813    
  0.931188703       9.78606939E-02   54883.7734    
  0.961774528       9.47485864E-02   53370.9961    
  0.993364990       9.17354375E-02   48902.6133    
  0.999134004       9.12057608E-02   52777.6758    
  0.999433994       9.11783800E-02   63398.4492    
  0.999733984       9.11510214E-02   71217.5938    
   1.00075114       9.10583735E-02   70299.6953    
   1.00105119       9.10310820E-02   65106.7695    
   1.00135124       9.10038054E-02   69192.5938    
   1.02599311       8.88181180E-02   64087.3789    
   1.05969286       8.59935731E-02   59253.6328    
   1.06763482       8.53538811E-02   57886.6602    
   1.06793487       8.53298977E-02   58223.2031    
   1.06823492       8.53059292E-02   60669.8750    
   1.09449959       8.32588449E-02   57939.6016    
   1.13044953       8.06110948E-02   57313.0547    
   1.15803826       7.86906406E-02   58425.0820    
   1.15833831       7.86702558E-02   61665.0117    
   1.15863836       7.86498860E-02   56967.4766    
   1.16758037       7.80475363E-02   58618.7891    
   1.20593071       7.55655169E-02   58210.5195    
   1.24554074       7.31624216E-02   59859.7969    
   1.28645182       7.08357468E-02   61711.7422    
   1.32870662       6.85830638E-02   64012.5195    
   1.37234938       6.64020255E-02   67164.1016    
   1.41742563       6.42903373E-02   76814.4609    
   1.46398246       6.22458085E-02   72590.9375    
   1.51206851       6.02663010E-02   75747.7969    
   1.56173396       5.83497435E-02   79394.4453    
   1.58433020       5.75175397E-02   79913.5156    
   1.58463025       5.75066470E-02   80594.5781    
   1.58493030       5.74957617E-02   80361.0234    
   1.61303079       5.64941317E-02   83249.5313    
   1.66601241       5.46975359E-02   86085.2266    
   1.71442270       5.31530380E-02   88639.1953    
   1.71472275       5.31437360E-02   95508.8359    
   1.71502280       5.31344377E-02   88440.6563    
   1.72073424       5.29580750E-02   91719.0547    
   1.77725351       5.12739308E-02   94643.9531    
   1.79159629       5.08634523E-02   92915.6250    
   1.79189634       5.08549362E-02   1147.25427    
   1.79219639       5.08464240E-02   97127.7734    
   1.80773997       5.04092276E-02   100854.352    
   1.80804002       5.04008606E-02   106981.414    
   1.80834007       5.03924973E-02   100539.867    
   1.83562922       4.96433452E-02   102360.336    
   1.89592242       4.80646119E-02   103483.531    
